"Title","Description","Project","Status","Estimate","Priority","Labels"
"[E3.S1.T1] Add Budgets to Schema","Add budgets table to Convex schema.

**Files Modified:** convex/schema.ts

**Table Fields:**
- userId, month, totalIncome, createdAt

**Indexes:**
- by_user
- by_user_and_month

**Acceptance Criteria:**
- [ ] Budgets table in schema
- [ ] Indexes defined
- [ ] Schema compiles","E3: Budget System","Backlog",1,"Urgent","Setup, Blocker"
"[E3.S1.T2] Add Budget Allocations to Schema","Add budget_allocations table to schema.

**Files Modified:** convex/schema.ts

**Table Fields:**
- budgetId, categoryId, allocated, group (NEEDS/WANTS/NICETIES)

**Indexes:**
- by_budget
- by_budget_and_category

**Acceptance Criteria:**
- [ ] Budget allocations table in schema
- [ ] Indexes defined
- [ ] Schema compiles","E3: Budget System","Backlog",1,"Urgent","Setup, Blocker"
"[E3.S1.T3] Create Budget Form Component","Create form to set up monthly budget.

**Files Created:** src/components/budgets/BudgetForm.tsx

**Form Fields:**
- Month (date picker)
- Total Income (number input)
- Budget method selector (Manual / 50-30-20 Template)

**Acceptance Criteria:**
- [ ] Form renders
- [ ] All fields present
- [ ] Validation works
- [ ] Can select budget method","E3: Budget System","Backlog",2,"High","Feature"
"[E3.S1.T4] Create Budget Mutation","Create Convex mutation to create budget.

**Files Created:** convex/budgets.ts

**Mutation:** createBudget

**Logic:**
- One budget per user per month
- Store totalIncome
- Create budget_allocations

**Acceptance Criteria:**
- [ ] Mutation created
- [ ] Unique constraint enforced
- [ ] Returns budget ID","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S1.T5] Wire Budget Form to Mutation","Connect budget form to Convex.

**Files Modified:** src/components/budgets/BudgetForm.tsx

**Connect:**
- useMutation(createBudget)
- Success toast
- Navigate to allocations page

**Acceptance Criteria:**
- [ ] Form submits
- [ ] Budget created
- [ ] Redirects to allocations","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S1.T6] Create Budget Query","Create Convex query to fetch budgets.

**Files Created/Modified:** convex/budgets.ts

**Query:** getBudget(userId, month)

**Returns:** Budget with allocations

**Acceptance Criteria:**
- [ ] Query created
- [ ] Returns budget for month
- [ ] Includes allocations","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S2.T1] Create Allocation Form Component","Create form to allocate budget to categories.

**Files Created:** src/components/budgets/AllocationForm.tsx

**Features:**
- List of categories
- Allocated amount input per category
- Group selector (NEEDS/WANTS/NICETIES)
- Real-time remaining balance

**Acceptance Criteria:**
- [ ] Form renders
- [ ] Shows all categories
- [ ] Can assign amounts
- [ ] Shows remaining balance","E3: Budget System","Backlog",2,"High","Feature"
"[E3.S2.T2] Add Allocation Mutations","Create mutations for budget allocations.

**Files Created/Modified:** convex/budgets.ts

**Mutations:**
- createAllocation
- updateAllocation
- deleteAllocation

**Acceptance Criteria:**
- [ ] All mutations created
- [ ] Validation works
- [ ] No TypeScript errors","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S2.T3] Wire Allocation Form to Mutations","Connect allocation form to Convex.

**Files Modified:** src/components/budgets/AllocationForm.tsx

**Connect:**
- useMutation for create/update/delete
- Optimistic updates
- Success toasts

**Acceptance Criteria:**
- [ ] Form submits
- [ ] Allocations update
- [ ] Real-time updates work","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S2.T4] Add Group Toggle Component","Create component to group categories.

**Files Created:** src/components/budgets/GroupToggle.tsx

**Features:**
- Three group buttons (NEEDS/WANTS/NICETIES)
- Visual indicator
- Auto-calculates group totals

**Acceptance Criteria:**
- [ ] Component renders
- [ ] Can assign categories to groups
- [ ] Group totals calculated
- [ ] Visual styling clear","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S2.T5] Add Budget Template Logic","Implement 50-30-20 budget template.

**Files Created:** src/lib/budgetTemplates.ts

**Logic:**
- 50% NEEDS
- 30% WANTS
- 20% NICETIES (Savings)

**User can adjust ratios**

**Acceptance Criteria:**
- [ ] Template calculates allocations
- [ ] User can modify ratios
- [ ] Allocations update automatically","E3: Budget System","Backlog",2,"High","Feature"
"[E3.S2.T6] Wire Template to Form","Connect budget template to allocation form.

**Files Modified:** src/components/budgets/AllocationForm.tsx

**Features:**
- ""Apply 50-30-20 Template"" button
- Modal to customize ratios
- Auto-fills allocations based on template

**Acceptance Criteria:**
- [ ] Template button works
- [ ] Can customize ratios
- [ ] Allocations auto-filled","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S2.T7] Add Validation for Over-allocation","Prevent allocating more than total income.

**Files Modified:** src/components/budgets/AllocationForm.tsx

**Validation:**
- Sum of allocations ≤ totalIncome
- Warning if over-allocated
- Block save if invalid

**Acceptance Criteria:**
- [ ] Validation works
- [ ] Warning shows
- [ ] Can't save if invalid","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S2.T8] Create Budget List Component","Create list view for budgets.

**Files Created:** src/components/budgets/BudgetList.tsx

**Features:**
- Shows all budgets by month
- Current month highlighted
- Quick view of allocations
- Edit/delete actions

**Acceptance Criteria:**
- [ ] List renders
- [ ] Shows all budgets
- [ ] Current month highlighted
- [ ] Can navigate to edit","E3: Budget System","Backlog",2,"High","Feature"
"[E3.S3.T1] Create Budget Progress Query","Create query to calculate budget progress.

**Files Created/Modified:** convex/budgets.ts

**Query:** getBudgetProgress(userId, month)

**Calculates:**
- Spent per category (from transactions)
- Remaining per category
- Overall progress percentage

**Acceptance Criteria:**
- [ ] Query created
- [ ] Calculates spent correctly
- [ ] Includes projected recurring","E3: Budget System","Backlog",2,"High","Feature"
"[E3.S3.T2] Create Progress Bar Component","Create visual progress bars for budget.

**Files Created:** src/components/budgets/ProgressBar.tsx

**Features:**
- Horizontal bar: allocated vs spent
- Color coding (green/yellow/red)
- Shows actual + projected

**Acceptance Criteria:**
- [ ] Component renders
- [ ] Shows progress visually
- [ ] Color coding works
- [ ] Responsive","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S3.T3] Create Budget Dashboard Component","Create overview of all budget progress.

**Files Created:** src/components/budgets/BudgetDashboard.tsx

**Features:**
- Overall budget status
- Progress per category
- Group progress (NEEDS/WANTS/NICETIES)
- Alerts for over-budget

**Acceptance Criteria:**
- [ ] Dashboard renders
- [ ] Shows all categories
- [ ] Group summaries visible
- [ ] Alerts show when over-budget","E3: Budget System","Backlog",2,"High","Feature"
"[E3.S3.T4] Add Budget Alerts","Alert users when approaching or exceeding budget.

**Files Created:** src/lib/budgetAlerts.ts

**Alerts:**
- Warning at 90% spent
- Alert at 100% spent
- Alert if projected exceeds budget

**Acceptance Criteria:**
- [ ] Alerts trigger correctly
- [ ] Show on dashboard
- [ ] Toast notifications
- [ ] Dismissible","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S3.T5] Wire Progress to Dashboard","Connect budget progress to main dashboard.

**Files Modified:** src/routes/dashboard.tsx

**Add:**
- Budget summary card
- Current month progress
- Quick links to budgets

**Acceptance Criteria:**
- [ ] Dashboard shows budget widget
- [ ] Progress updates real-time
- [ ] Links work","E3: Budget System","Backlog",1,"High","Feature"
"[E3.S3.T6] Add Budget Analytics","Create analytics for budget performance.

**Files Created:** src/components/budgets/BudgetAnalytics.tsx

**Features:**
- Historical budget performance
- Category trends
- Under/over budget summary

**Acceptance Criteria:**
- [ ] Analytics render
- [ ] Historical data accurate
- [ ] Charts display correctly","E3: Budget System","Backlog",2,"High","Feature"
"[E3.S3.T7] Create Budgets Page","Create main budgets page with all features.

**Files Modified:** src/routes/budgets.tsx

**Layout:**
- Budget selector (month picker)
- Create budget button
- Budget dashboard
- Allocations list

**Acceptance Criteria:**
- [ ] Page renders
- [ ] All features work
- [ ] Real-time updates
- [ ] Responsive design","E3: Budget System","Backlog",2,"Urgent","Feature, Blocker"
