Title,Description,Project,Status,Priority,Labels,Estimate
"[E2.S1.T1] Add Categories to Schema","Add categories table to Convex schema.

**Files Modified:** convex/schema.ts

**Table Fields:**
- userId, name, type, color, icon
- isArchived, isDefault, createdAt

**Indexes:**
- by_user
- by_user_and_type
- by_user_active

**Acceptance Criteria:**
- [ ] Categories table in schema
- [ ] Indexes defined
- [ ] Schema compiles without errors","E2: Transaction Management","Backlog","Urgent","🔵 Setup,🔴 Blocker",1
"[E2.S1.T2] Create Category Form Component","Create UI form for creating/editing categories.

**Files Created:** src/components/categories/CategoryForm.tsx

**Form Fields:**
- Name (text input)
- Type (income/expense toggle)
- Color (color picker)
- Icon (icon selector)

**Uses:** React Hook Form + Zod validation

**Acceptance Criteria:**
- [ ] Form renders
- [ ] All fields present
- [ ] Validation works
- [ ] Can select color and icon","E2: Transaction Management","Backlog","High","🟣 Feature,🟡 Parallel",2
"[E2.S1.T3] Create Category Mutations","Create Convex mutations for category CRUD.

**Files Created:** convex/categories.ts

**Mutations:**
- createCategory
- updateCategory
- deleteCategory (soft delete)

**Validation:**
- Unique name per user per type
- Required fields

**Acceptance Criteria:**
- [ ] All mutations created
- [ ] Validation works
- [ ] No TypeScript errors","E2: Transaction Management","Backlog","High","🟣 Feature",1
"[E2.S1.T4] Create Category Query","Create Convex query to fetch categories.

**Files Created/Modified:** convex/categories.ts

**Query:** getCategories(userId, type?, includeArchived?)

**Filters:**
- By type (income/expense)
- Include/exclude archived

**Acceptance Criteria:**
- [ ] Query created
- [ ] Filters work
- [ ] Returns sorted by name","E2: Transaction Management","Backlog","High","🟣 Feature",1
"[E2.S1.T5] Wire Category Form to Mutations","Connect category form to Convex mutations.

**Files Modified:** src/components/categories/CategoryForm.tsx

**Connect:**
- useMutation for create/update
- Form submit handler
- Success toast
- Optimistic update

**Acceptance Criteria:**
- [ ] Form submits to Convex
- [ ] Success toast shows
- [ ] Category appears instantly
- [ ] Form resets after submit","E2: Transaction Management","Backlog","High","🟣 Feature",1
"[E2.S1.T6] Create Category List Component","Create list view for categories.

**Files Created:** src/components/categories/CategoryList.tsx

**Features:**
- Real-time list (useQuery)
- Tabs for income/expense
- Edit/delete actions
- Empty state

**Acceptance Criteria:**
- [ ] List shows all categories
- [ ] Real-time updates work
- [ ] Can edit category
- [ ] Can delete category","E2: Transaction Management","Backlog","High","🟣 Feature",2
"[E2.S1.T7] Create Default Categories on Signup","Auto-create default categories when user signs up.

**Files Modified:** convex/users.ts (syncUser mutation)

**Default Categories:**
- 5 income (Salary, Freelance, Investment, Gift, Other)
- 9 expense (Groceries, Rent, Utilities, Transport, etc)

**Acceptance Criteria:**
- [ ] Default categories created on signup
- [ ] All 14 categories present
- [ ] Marked with isDefault: true","E2: Transaction Management","Backlog","High","🟣 Feature",1
"[E2.S2.T1] Add Accounts to Schema","Add accounts table to Convex schema.

**Files Modified:** convex/schema.ts

**Table Fields:**
- userId, name, type, provider
- lastFourDigits, isArchived, createdAt

**Indexes:**
- by_user
- by_user_active

**Acceptance Criteria:**
- [ ] Accounts table in schema
- [ ] Indexes defined
- [ ] Schema compiles","E2: Transaction Management","Backlog","High","🔵 Setup",1
"[E2.S2.T2] Create Account Form & Mutations","Create account form and Convex mutations.

**Files Created:**
- src/components/accounts/AccountForm.tsx
- convex/accounts.ts

**Mutations:** create, update, delete (soft)
**Query:** getAccounts

**Acceptance Criteria:**
- [ ] Form renders
- [ ] Mutations work
- [ ] Query returns accounts
- [ ] Validation works","E2: Transaction Management","Backlog","High","🟣 Feature",2
"[E2.S2.T3] Create Account List Component","Create list view for accounts.

**Files Created:** src/components/accounts/AccountList.tsx

**Features:**
- Real-time list
- Edit/delete actions
- Account type icons

**Acceptance Criteria:**
- [ ] List shows all accounts
- [ ] Real-time updates
- [ ] Edit/delete functional","E2: Transaction Management","Backlog","High","🟣 Feature",1
